Дата,Аэропорт,Способ оплаты,Тип пассажира,Сумма,Месяц
2023-01-13,Москва,Наличные,Постоянный клиент,49334.97,1
2023-01-14,Екатеринбург,Онлайн,VIP,13652.99,1
2023-01-14,Новосибирск,Наличные,Постоянный клиент,20987.18,1
2023-01-17,Екатеринбург,Баллы,Постоянный клиент,14869.43,1
2023-04-23,Москва,Карта,VIP,44815.48,4
2023-04-23,Санкт-Петербург,Карта,Постоянный клиент,17508.81,4
2023-04-23,Москва,Наличные,VIP,12199.19,4
2023-04-23,Новосибирск,Подарочный сертификат,VIP,13951.0,4
2023-04-25,Казань,Карта,VIP,44413.38,4
2023-04-30,Санкт-Петербург,Наличные,Постоянный клиент,22075.49,4
2023-05-06,Екатеринбург,Баллы,Обычный,39010.2,5
2023-08-05,Москва,Онлайн,Постоянный клиент,32167.67,8
2023-08-05,Новосибирск,Карта,Обычный,46091.13,8
2023-08-18,Казань,Наличные,Постоянный клиент,11283.36,8
2023-09-16,Новосибирск,Наличные,VIP,27465.41,9
2023-10-07,Москва,Баллы,VIP,10617.18,10
2023-10-15,Новосибирск,Карта,VIP,33574.02,10
2023-10-15,Казань,Подарочный сертификат,Обычный,22314.53,10
2023-10-29,Казань,Карта,VIP,18193.02,10
2023-10-29,Екатеринбург,Наличные,VIP,19592.72,10
2023-10-30,Санкт-Петербург,Подарочный сертификат,VIP,46332.21,10
2023-10-30,Новосибирск,Наличные,Обычный,15839.22,10
2023-11-05,Новосибирск,Баллы,Обычный,10034.05,11
2023-11-05,Казань,Подарочный сертификат,Постоянный клиент,48698.53,11
2023-11-29,Екатеринбург,Подарочный сертификат,Постоянный клиент,38615.62,11
2023-12-13,Екатеринбург,Наличные,VIP,46068.25,12
2023-12-13,Санкт-Петербург,Наличные,Постоянный клиент,9599.46,12
2023-12-13,Москва,Наличные,VIP,24017.65,12
2023-12-26,Новосибирск,Онлайн,Обычный,18207.51,12
2023-12-26,Москва,Наличные,Обычный,41227.06,12
