Дата,Товар,Точка продажи,Количество,Себестоимость,Цена,Сумма продаж,Прибыль
2024-01-14,Монитор,Точка C,13,76584.29,97156.82,1263038.66,267442.89
2024-01-17,Планшет,Точка D,12,44682.83,60993.56,731922.72,195728.76
2024-01-17,Монитор,Точка A,11,70855.72,91034.76,1001382.36,221969.44
2024-01-17,Смартфон,Точка B,7,43994.88,52155.88,365091.16,57127.0
2024-01-17,Смартфон,Точка C,10,62951.02,84994.17,849941.7,220431.5
2024-01-23,Принтер,Точка D,4,64923.36,92385.86,369543.44,109850.0
2024-01-25,Планшет,Точка B,14,54636.3,76836.42,1075709.88,310801.68
2024-01-25,Планшет,Точка D,12,20709.38,24239.39,290872.68,42360.12
2024-02-02,Монитор,Точка B,8,47700.64,59055.76,472446.08,90840.96
2024-02-02,Ноутбук,Точка B,9,12521.97,15623.49,140611.41,27913.68
2024-02-03,Смартфон,Точка D,10,69481.64,78453.89,784538.9,89722.5
2024-02-03,Смартфон,Точка D,12,20696.37,24537.23,294446.76,46090.32
2024-02-03,Смартфон,Точка C,2,79574.27,91301.98,182603.96,23455.42
2024-02-05,Монитор,Точка D,12,23883.08,31927.84,383134.08,96537.12
2024-02-05,Принтер,Точка B,12,58744.8,76236.12,914833.44,209895.84
2024-02-05,Принтер,Точка C,7,68430.68,102105.27,714736.89,235722.13
2024-02-10,Планшет,Точка C,10,24744.08,30612.19,306121.9,58681.1
2024-02-10,Монитор,Точка C,1,10248.2,14434.05,14434.05,4185.85
2024-02-10,Смартфон,Точка D,1,76767.11,111338.5,111338.5,34571.39
2024-02-14,Смартфон,Точка D,3,12928.02,16106.51,48319.53,9535.47
2024-02-14,Принтер,Точка A,13,57059.71,68916.97,895920.61,154144.38
2024-02-17,Принтер,Точка B,10,25415.22,28678.46,286784.6,32632.4
2024-02-17,Планшет,Точка D,6,32474.08,37080.2,222481.2,27636.72
2024-02-19,Монитор,Точка D,11,24959.1,32179.13,353970.43,79420.33
2024-02-22,Принтер,Точка B,8,25359.51,32316.5,258532.0,55655.92
2024-02-22,Смартфон,Точка A,13,77009.99,85951.1,1117364.3,116234.43
2024-02-22,Ноутбук,Точка A,11,52621.02,62919.95,692119.45,113288.23
2024-02-22,Смартфон,Точка D,10,52723.22,65988.16,659881.6,132649.4
2024-02-26,Смартфон,Точка B,12,43893.9,61005.23,732062.76,205335.96
2024-03-11,Ноутбук,Точка C,9,39986.46,49912.23,449210.07,89331.93
2024-03-11,Принтер,Точка C,13,72399.81,97382.16,1265968.08,324770.55
2024-03-11,Ноутбук,Точка C,13,65300.43,82668.84,1074694.92,225789.33
2024-03-12,Ноутбук,Точка B,15,69383.54,88990.27,1334854.05,294100.95
2024-03-12,Монитор,Точка B,3,66287.69,91368.61,274105.83,75242.76
2024-03-14,Ноутбук,Точка B,7,10150.88,12751.22,89258.54,18202.38
2024-03-14,Планшет,Точка A,4,30167.34,36595.62,146382.48,25713.12
2024-03-19,Принтер,Точка B,3,36173.97,42128.91,126386.73,17864.82
2024-03-19,Ноутбук,Точка C,6,36238.88,41972.88,251837.28,34404.0
2024-03-22,Ноутбук,Точка C,6,54903.72,69171.62,415029.72,85607.4
2024-03-22,Смартфон,Точка B,14,11426.6,13265.74,185720.36,25747.96
2024-03-28,Ноутбук,Точка A,10,29903.75,38620.27,386202.7,87165.2
2024-04-08,Монитор,Точка B,5,40791.08,56512.69,282563.45,78608.05
2024-04-17,Ноутбук,Точка C,8,11363.37,16722.78,133782.24,42875.28
2024-04-17,Монитор,Точка B,4,67161.06,86242.95,344971.8,76327.56
2024-04-18,Монитор,Точка C,9,42614.7,47937.54,431437.86,47905.56
2024-04-18,Ноутбук,Точка C,5,62743.26,90436.83,452184.15,138467.85
2024-04-18,Планшет,Точка A,14,39404.11,51070.91,714992.74,163335.2
2024-04-18,Планшет,Точка D,8,15630.93,17443.25,139546.0,14498.56
2024-04-20,Планшет,Точка C,6,72511.88,82100.2,492601.2,57529.92
2024-04-20,Монитор,Точка D,2,50391.48,69267.14,138534.28,37751.32
2024-04-20,Монитор,Точка D,7,79188.98,112207.42,785451.94,231129.08
2024-04-21,Смартфон,Точка A,5,75874.45,97960.87,489804.35,110432.1
2024-04-22,Смартфон,Точка A,15,62567.51,88096.21,1321443.15,382930.5
2024-04-22,Ноутбук,Точка A,1,38183.49,47184.14,47184.14,9000.65
2024-04-22,Монитор,Точка B,3,22254.85,29905.99,89717.97,22953.42
2024-04-24,Монитор,Точка D,2,27353.39,30789.26,61578.52,6871.74
2024-04-26,Монитор,Точка A,10,76342.99,98178.12,981781.2,218351.3
2024-04-29,Монитор,Точка A,9,25736.66,29844.12,268597.08,36967.14
2024-04-29,Планшет,Точка D,8,40490.21,56378.99,451031.92,127110.24
2024-04-29,Ноутбук,Точка B,9,28564.03,42083.49,378751.41,121675.14
2024-05-05,Смартфон,Точка D,11,59828.97,76537.4,841911.4,183792.73
2024-05-05,Монитор,Точка A,12,47759.33,71637.23,859646.76,286534.8
2024-05-06,Смартфон,Точка D,13,50598.93,68909.78,895827.14,238041.05
2024-05-06,Ноутбук,Точка A,11,40173.58,50997.61,560973.71,119064.33
2024-05-08,Смартфон,Точка C,2,50507.93,74325.19,148650.38,47634.52
2024-05-08,Планшет,Точка C,1,16392.88,24339.57,24339.57,7946.69
2024-05-14,Принтер,Точка A,12,31952.34,35788.44,429461.28,46033.2
2024-05-14,Монитор,Точка A,14,71645.97,95308.92,1334324.88,331281.3
2024-05-15,Принтер,Точка B,1,77254.52,87455.56,87455.56,10201.04
2024-05-15,Смартфон,Точка C,7,19161.48,26025.13,182175.91,48045.55
2024-05-15,Ноутбук,Точка B,6,18368.83,24142.99,144857.94,34644.96
2024-05-16,Планшет,Точка A,2,51759.99,64093.09,128186.18,24666.2
2024-05-16,Планшет,Точка D,2,76421.21,112209.9,224419.8,71577.38
2024-05-16,Принтер,Точка C,15,28253.6,38647.83,579717.45,155913.45
2024-05-17,Монитор,Точка A,3,61559.51,75895.13,227685.39,43006.86
2024-05-22,Монитор,Точка A,9,73730.92,81556.65,734009.85,70431.57
2024-05-22,Смартфон,Точка B,1,56202.32,70780.44,70780.44,14578.12
2024-05-28,Монитор,Точка C,3,44128.5,54804.51,164413.53,32028.03
2024-06-10,Планшет,Точка D,2,42808.86,52296.86,104593.72,18976.0
2024-06-10,Ноутбук,Точка C,9,31649.93,39985.17,359866.53,75017.16
2024-06-21,Смартфон,Точка C,2,72279.89,100972.6,201945.2,57385.42
2024-06-25,Монитор,Точка B,15,75091.67,108570.71,1628560.65,502185.6
2024-06-30,Смартфон,Точка C,5,21042.28,30164.07,150820.35,45608.95
2024-07-02,Планшет,Точка B,4,39431.24,58206.25,232825.0,75100.04
2024-07-02,Смартфон,Точка B,5,56229.97,65385.49,326927.45,45777.6
2024-07-04,Ноутбук,Точка A,4,54181.27,79558.24,318232.96,101507.88
2024-07-05,Монитор,Точка A,11,68250.02,88680.68,975487.48,224737.26
2024-07-08,Принтер,Точка B,9,73883.95,106999.29,962993.61,298038.06
2024-07-13,Принтер,Точка C,2,68283.99,83203.95,166407.9,29839.92
2024-07-13,Монитор,Точка C,11,57539.93,72599.66,798596.26,165657.03
2024-07-14,Планшет,Точка B,11,27467.08,31343.16,344774.76,42636.88
2024-07-16,Планшет,Точка D,12,77012.23,115377.34,1384528.08,460381.32
2024-07-16,Планшет,Точка C,15,51730.85,75115.42,1126731.3,350768.55
2024-07-16,Ноутбук,Точка B,2,26894.92,33956.75,67913.5,14123.66
2024-07-21,Принтер,Точка B,13,46580.08,59632.09,775217.17,169676.13
2024-08-02,Принтер,Точка A,11,67197.29,81964.0,901604.0,162433.81
2024-08-04,Монитор,Точка B,7,23342.73,31273.45,218914.15,55515.04
2024-08-07,Смартфон,Точка C,9,19170.93,23296.74,209670.66,37132.29
2024-08-17,Смартфон,Точка D,9,59396.72,78662.8,707965.2,173394.72
2024-08-22,Монитор,Точка D,15,21141.05,30540.32,458104.8,140989.05
