Дата,Прогноз продаж
2024-12-27,201143.99111052728
2024-12-28,205069.10200164176
2024-12-29,208994.21289275627
2024-12-30,212919.32378387076
2024-12-31,216844.43467498524
2025-01-01,220769.54556609972
2025-01-02,224694.6564572142
2025-01-03,228619.7673483287
2025-01-04,232544.87823944318
2025-01-05,236469.9891305577
2025-01-06,240395.10002167217
2025-01-07,244320.21091278666
2025-01-08,248245.32180390114
2025-01-09,252170.43269501562
2025-01-10,256095.5435861301
2025-01-11,260020.6544772446
2025-01-12,263945.7653683591
2025-01-13,267870.8762594736
2025-01-14,271795.9871505881
2025-01-15,275721.0980417025
2025-01-16,279646.20893281704
2025-01-17,283571.31982393155
2025-01-18,287496.430715046
2025-01-19,291421.5416061605
2025-01-20,295346.65249727503
2025-01-21,299271.7633883895
2025-01-22,303196.87427950394
2025-01-23,307121.98517061846
2025-01-24,311047.09606173297
2025-01-25,314972.2069528474
